gender,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,etest_p,salary,Majoredu,workexp,location,skill1,skill2,skill3,skill4,Jobprofile
M,79.33,Central,78.33,Others,77.48,86.5,200000.0,Buisness,2,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,63.0,Central,66.2,Central,65.6,60.0,300000.0,Buisness,6,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,50.0,Others,37.0,Others,52.0,65.0,,Computer,2,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,62.0,Central,60.33,Others,64.21,63.0,,Architecture,5,Pune,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,62.0,Others,63.0,Others,64.0,67.0,220000.0,Architecture,1,Mumbai,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,84.0,Others,90.9,Others,64.5,86.04,270000.0,Computer,7,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,67.0,Others,91.0,Others,58.0,55.0,270000.0,Architecture,2,Delhi,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,76.0,Central,70.0,Central,76.0,66.0,300000.0,Computer,1,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,82.0,Others,90.0,Others,83.0,80.0,200000.0,Architecture,1,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,62.0,Central,58.0,Others,53.0,89.0,168.0,Art,7,kolkata,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,62.0,Central,67.0,Central,58.0,77.0,,Computer,2,Chennai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,60.0,Central,63.0,Central,56.0,80.0,300000.0,Buisness,2,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,49.0,Others,39.0,Central,65.0,63.0,,Computer,3,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,73.0,Central,79.0,Central,72.0,91.34,231000.0,Architecture,3,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,62.0,Central,72.0,Central,65.0,67.0,216000.0,Computer,1,kolkata,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,54.0,Others,47.0,Others,57.0,89.69,,Buisness,2,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,61.0,Central,81.0,Central,66.4,50.89,278000.0,Art,3,Nagpur,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,87.0,Others,65.0,Others,81.0,88.0,260000.0,Architecture,5,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Computer,3,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,41.0,Central,42.0,Central,60.0,97.0,,Architecture,4,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,54.0,Central,82.0,Others,63.0,50.0,,Art,4,Noida,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,82.0,Central,64.0,Central,66.0,67.0,252000.0,Art,4,Chennai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,77.0,Others,73.0,Others,81.0,89.0,200000.0,Architecture,4,Pune,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,64.6,Central,83.83,Others,71.72,86.0,218000.0,Buisness,3,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,76.5,Others,97.7,Others,78.86,97.4,360000.0,Buisness,6,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,58.0,Others,61.0,Others,61.0,58.0,250000.0,Art,5,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,73.0,Central,79.0,Central,72.0,91.34,231000.0,Architecture,1,Nagpur,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,59.96,Others,42.16,Others,61.26,54.48,,Computer,4,Banglore,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Computer,2,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,69.0,Central,73.0,Central,65.0,70.0,220000.0,Architecture,5,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,68.0,Others,56.0,Others,68.0,73.0,350000.0,Architecture,2,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
